,video_ids,nsfw_scores
170,WYKZdQq81kI,0.0021
171,DOa5wozdK6Y,0.0576
172,bHocnamqOJI,0.0226
173,L22U8dUpC44,0.0177
174,DDGhKS6bSAE,0.0737
175,xxV7ubH94aU,0.0005
176,--lk4QeTVmg,0.0024
177,VMxjFTtTquc,0.0019
178,cnN00ppui-w,0.0019
179,vL0yww9nk9o,0.0008
180,XSbNb3bQ1pg,0.0011
181,sG0rVJT_MT0,0.0001
182,BhP3nG16j7w,0.0088
183,T0_D4HC-Cwk,0.008
184,ODwJGcswfsA,0.0036
185,MnNisyErEMs,0.0555
186,dE7RFxsnrS4,0.0013
187,vre-UCKBt8Y,0.0026
188,OI2NYBm8JYs,0.0046
189,mP_NA_L9zMk,0.2827
190,ZhQOhsl7Bus,0.0111
191,U4qm6mPKHqw,0.0528
192,TpLh9vB02MM,0.0078
193,TkLO5XtuMUw,0.0664
194,O5aVKxMacm8,0.1416
195,412--23qbb4,0.0137
196,6y4BStscwvw,0.0075
197,gPknTQlKGQk,0.0016
198,P42zn7PGyNc,0.0112
199,4u5I8GYB79Y,0.0208
200,MHryuYVyHhk,0.3113
201,3ZTnKuV0VpA,0.0087
202,o1njZZsUUXM,0.0026
203,Y0LA7Ff2hgs,0.0058
204,uNkTb3ZEILA,0.0007
205,CKwM4ZEfYdk,0.0933
206,xo7Jx0C4A_o,0.003
207,SZ-We5x0Jys,0.0007
208,jtIZZs-GAOA,0.005
209,WCru1nJI57I,0.0047
210,38-ji37hzlE,0.0166
211,FmHLvJkc7Gg,0.0248
212,tRwUtg7ZX6Q,0.0301
213,qEV9qoup2mQ,0.0286
214,Ytm8VsQPS3o,0.0025
215,9Y18-07g39g,0.0011
216,78GVRzSnyGo,0.0037
217,LU9JtSwxBqI,0.0233
218,Lgd78PUXkPo,0.0054
219,M6jzUhLmoEc,0.0027
220,uuSj5EW6ELA,0.0043
221,ZLLcxNiQ9Yg,0.0142
222,3RwzjHB6y5Y,0.0207
223,qIsgdOVGA04,0.0011
224,Xvt9vcoyipA,0.0305
225,Ll1bLppLh4Y,0.029
226,TBmOMziLNcU,0.055
227,2Mkq6GFLIsk,0.0957
228,yS5w6Ozpdq4,0.0113
229,PK2SMIOHYig,0.0105
230,u9HJDC3I_Qg,0.0005
231,eQi3FrEnn5o,0.1462
232,ycNSY3d1WLc,0.0219
233,UyvhqC5sIsI,0.4001
234,tIUahhljm44,0.0596
235,GjgImsVqPfg,0.0371
236,m3u-_2WaTM4,0.0019
237,_mz4OMbBoRY,0.0016
238,rcWcchtcf1w,0.1501
239,venQs8fEu1Y,0.3789
240,bL9ayAkWsV4,0.0181
241,zaTi7YjDyDw,0.0687
242,UoNAmRwf5qk,0.0132
243,fXb02MQ78yQ,0.0019
244,LI8-QOOPzV0,0.0332
245,MHqxaXCzxNE,0.0145
246,FSCvulo6fJQ,0.0003
247,pQ9gSEzku-E,0.039
248,ePldSI0SGCg,0.0034
249,TYeQqLt1DLY,0.0625
250,ZVAS5-HelDY,0.0392
251,qaZY_unJFaA,0.0044
252,asUxDFssLFQ,0.0009
253,ER6NX7UXCJA,0.011
254,dI4EoLtdoeE,0.0116
255,_jhufVHuKbM,0.0075
256,kTBWEsJ2l_w,0.155
257,bFw52SdQSOQ,0.04
258,ta4UnmpxC-Y,0.3602
259,0mx3Hwq4QXw,0.0133
260,z6AF4HPpWF8,0.0003
261,bmFGbBmlyKQ,0.0075
262,cZXzwDN-V9M,0.5274
263,voYdl7IFZsM,0.019
264,GDpq6HZQBHI,0.0004
265,rSF8gPD3QbA,0.001
266,hD8vw-JE4Qw,0.0032
267,UPDURM7Wodo,0.0015
268,sAoDZy5R054,0.0485
269,DDkwj1YRdEg,0.0081
270,HALG3Ty52mY,0.0044
271,4z-GNiazduQ,0.0208
272,dODSTA6C0m8,0.123
273,NT0fxgIb38g,0.3576
274,TFNnqDGmgYo,0.0061
275,JOjjMLh4kJ4,0.5156
276,O-TMfCbIy8A,0.0022
277,eDOFWlyRHyA,0.0273
278,ulchAKGi_Y0,0.0087
279,DaUHU2I-haA,0.0009
280,ElBxuDVfcl4,0.1864
281,CTXtXxD-TYg,0.0012
282,m-Xmk4-itqk,0.0103
283,co3MFSGHa20,0.0475
284,VsDtnTvgDB0,0.0007
285,WVXsqKZgZXw,0.2009
286,x4drR-dBA0A,0.0663
287,qmdb5XTNYhY,0.001
288,_BZIxt07UNU,0.0
289,Gn0twHM_9ms,0.9504
290,6ayJjfyRRkc,0.0122
291,mgkKG2oGCgE,0.0026
292,uoYNS3C1_Pc,0.0007
293,LEcbagW4O-s,0.0049
294,Zn2k0getlRI,0.0624
295,QxGVgXf_LNk,0.0013
296,E6UKdBJd7tk,0.1915
297,8AlihXsl7Rs,0.001
298,UggADa3JdzE,0.0023
299,Yc9_ZFxMvMw,0.0015
300,0nLoRgi1f78,0.0261
301,qqOxkuO3ip0,0.0021
302,ZxURKaBjO8w,0.0152
303,RJ0jdO5ZfU4,0.0038
304,wb_YQgtSKfU,0.0053
305,BpvlknhpGxU,0.0162
306,FVFdsl29s_Q,0.0053
307,4DlUnGwCyn0,0.003
308,6lmvG7V0LoE,0.026
309,1ATrcsnXKhc,0.0109
310,IQ4KoWXQxRA,0.0398
311,CSVf3tHh9sE,0.7515
312,siDdxAq4o_Y,0.062
313,Z-1kBIGLEyc,0.1353
314,VUc6S9UBilM,0.0085
315,5IDc88fmRUM,0.0009
316,VJElM3wsH5c,0.0012
317,Dqn7NQ228w0,0.0135
318,UMhM8jghPco,0.0073
319,i2O6GMpNWGo,0.4956
320,wbR-5mHI6bo,0.0049
321,oN2ITLbdXSo,0.0001
322,Nf-kh0pFurM,0.0023
323,gI-WEtw1vB4,0.0129
324,wwJABxjcvUc,0.0098
325,VEybDNZN_Oo,0.043
326,YKC27gOpezg,0.0339
327,IB5k-0jD2XQ,0.0225
328,idGb3ZYasaI,0.0229
329,Eo0Ni28WU2g,0.0127
330,SSDLzLTZs3U,0.0
331,9mmhe_5R-rM,0.0032
332,9x80ZvFTaV4,0.056
333,-8wAcpNYSas,0.0071
334,CBAbD9PD24g,0.0093
335,vohFJ8yL0Qw,0.0256
336,t7_tnbSSXMQ,0.0005
337,xtJ49gXWwA0,0.1602
338,h31LDBh1uvg,0.0004
339,-nc146I26SU,0.0002
