,video_id,label_1,label_2,label_3
166,QNTYrOL-npo,person,,
167,9Ak320xrCUo,person,,
168,rKbIvdx4gzU,bicycle,,
169,m3ugIgRJMsE,,,
170,WYKZdQq81kI,person,,
171,DOa5wozdK6Y,motorbike,car,train
172,bHocnamqOJI,bicycle,car,
173,L22U8dUpC44,,,
174,DDGhKS6bSAE,,,
175,xxV7ubH94aU,,,
176,--lk4QeTVmg,person,,
177,VMxjFTtTquc,person,,
178,cnN00ppui-w,car,,
179,vL0yww9nk9o,,,
180,XSbNb3bQ1pg,bicycle,car,motorbike
181,sG0rVJT_MT0,,,
182,BhP3nG16j7w,person,,
183,T0_D4HC-Cwk,motorbike,car,
184,ODwJGcswfsA,person,car,train
185,MnNisyErEMs,person,,
186,dE7RFxsnrS4,boat,train,person
187,vre-UCKBt8Y,bicycle,truck,traffic light
188,OI2NYBm8JYs,bicycle,person,aeroplane
189,mP_NA_L9zMk,bicycle,car,train
190,ZhQOhsl7Bus,aeroplane,bus,bicycle
191,U4qm6mPKHqw,person,,
192,TpLh9vB02MM,motorbike,bicycle,
193,TkLO5XtuMUw,car,,
194,O5aVKxMacm8,person,train,
195,412--23qbb4,car,person,
196,6y4BStscwvw,person,,
197,gPknTQlKGQk,car,bus,
198,P42zn7PGyNc,bicycle,person,
199,4u5I8GYB79Y,,,
200,MHryuYVyHhk,bicycle,bus,traffic light
201,3ZTnKuV0VpA,,,
202,o1njZZsUUXM,,,
203,Y0LA7Ff2hgs,car,aeroplane,
204,uNkTb3ZEILA,person,,
205,CKwM4ZEfYdk,person,,
206,xo7Jx0C4A_o,bicycle,,
207,SZ-We5x0Jys,,,
208,jtIZZs-GAOA,truck,bicycle,
209,WCru1nJI57I,car,,
210,38-ji37hzlE,person,,
211,FmHLvJkc7Gg,bicycle,,
212,tRwUtg7ZX6Q,bicycle,person,
213,qEV9qoup2mQ,,,
214,Ytm8VsQPS3o,,,
215,9Y18-07g39g,car,train,
216,78GVRzSnyGo,,,
217,LU9JtSwxBqI,,,
218,Lgd78PUXkPo,aeroplane,person,
219,M6jzUhLmoEc,,,
220,uuSj5EW6ELA,motorbike,person,
221,ZLLcxNiQ9Yg,motorbike,,
222,3RwzjHB6y5Y,,,
223,qIsgdOVGA04,traffic light,truck,bus
224,Xvt9vcoyipA,person,,
225,Ll1bLppLh4Y,train,,
226,TBmOMziLNcU,person,car,
227,2Mkq6GFLIsk,,,
228,yS5w6Ozpdq4,aeroplane,bicycle,car
229,PK2SMIOHYig,,,
230,u9HJDC3I_Qg,bicycle,,
231,eQi3FrEnn5o,traffic light,person,parking meter
232,ycNSY3d1WLc,person,,
233,UyvhqC5sIsI,bicycle,car,
234,tIUahhljm44,aeroplane,person,
235,GjgImsVqPfg,,,
236,m3u-_2WaTM4,,,
237,_mz4OMbBoRY,bicycle,car,person
238,rcWcchtcf1w,,,
239,venQs8fEu1Y,truck,car,bus
240,bL9ayAkWsV4,,,
241,zaTi7YjDyDw,motorbike,,
242,UoNAmRwf5qk,bicycle,bus,
243,fXb02MQ78yQ,,,
244,LI8-QOOPzV0,bicycle,person,bus
245,MHqxaXCzxNE,car,person,motorbike
246,FSCvulo6fJQ,,,
247,pQ9gSEzku-E,,,
248,ePldSI0SGCg,bench,stop sign,truck
249,TYeQqLt1DLY,,,
250,ZVAS5-HelDY,bicycle,aeroplane,boat
251,qaZY_unJFaA,car,motorbike,person
252,asUxDFssLFQ,bicycle,,
253,ER6NX7UXCJA,bicycle,,
254,dI4EoLtdoeE,bicycle,car,person
255,_jhufVHuKbM,,,
256,kTBWEsJ2l_w,aeroplane,train,truck
257,bFw52SdQSOQ,bicycle,,
258,ta4UnmpxC-Y,bus,motorbike,car
259,0mx3Hwq4QXw,,,
260,z6AF4HPpWF8,,,
261,bmFGbBmlyKQ,bicycle,,
262,cZXzwDN-V9M,,,
263,voYdl7IFZsM,bicycle,,
264,GDpq6HZQBHI,,,
265,rSF8gPD3QbA,,,
266,hD8vw-JE4Qw,car,aeroplane,
267,UPDURM7Wodo,person,aeroplane,
268,sAoDZy5R054,bicycle,horse,zebra
269,DDkwj1YRdEg,aeroplane,truck,motorbike
270,HALG3Ty52mY,bicycle,,
271,4z-GNiazduQ,car,,
272,dODSTA6C0m8,car,,
273,NT0fxgIb38g,motorbike,car,
274,TFNnqDGmgYo,cat,stop sign,bench
275,JOjjMLh4kJ4,aeroplane,bicycle,parking meter
276,O-TMfCbIy8A,car,,
277,eDOFWlyRHyA,car,,
278,ulchAKGi_Y0,motorbike,,
279,DaUHU2I-haA,,,
280,ElBxuDVfcl4,person,,
281,CTXtXxD-TYg,aeroplane,car,
282,m-Xmk4-itqk,person,,
283,co3MFSGHa20,car,person,
284,VsDtnTvgDB0,motorbike,bus,bicycle
285,WVXsqKZgZXw,person,,
286,x4drR-dBA0A,bicycle,person,
287,qmdb5XTNYhY,,,
288,_BZIxt07UNU,,,
289,Gn0twHM_9ms,car,,
290,6ayJjfyRRkc,car,boat,parking meter
291,mgkKG2oGCgE,,,
292,uoYNS3C1_Pc,motorbike,truck,bus
293,LEcbagW4O-s,bicycle,aeroplane,
294,Zn2k0getlRI,car,,
295,QxGVgXf_LNk,bicycle,,
296,E6UKdBJd7tk,person,,
297,8AlihXsl7Rs,person,car,
298,UggADa3JdzE,fire hydrant,aeroplane,boat
299,Yc9_ZFxMvMw,bicycle,,
300,0nLoRgi1f78,motorbike,bus,bicycle
301,qqOxkuO3ip0,,,
302,ZxURKaBjO8w,,,
303,RJ0jdO5ZfU4,,,
304,wb_YQgtSKfU,bicycle,,
305,BpvlknhpGxU,person,,
306,FVFdsl29s_Q,person,motorbike,
307,4DlUnGwCyn0,train,car,
308,6lmvG7V0LoE,bicycle,,
309,1ATrcsnXKhc,bicycle,aeroplane,person
310,IQ4KoWXQxRA,,,
311,CSVf3tHh9sE,person,,
312,siDdxAq4o_Y,,,
313,Z-1kBIGLEyc,,,
314,VUc6S9UBilM,person,,
315,5IDc88fmRUM,person,,
316,VJElM3wsH5c,bicycle,,
317,Dqn7NQ228w0,,,
318,UMhM8jghPco,,,
319,i2O6GMpNWGo,person,bicycle,
320,wbR-5mHI6bo,bicycle,,
321,oN2ITLbdXSo,,,
322,Nf-kh0pFurM,person,,
323,gI-WEtw1vB4,bicycle,person,
324,wwJABxjcvUc,bicycle,,
325,VEybDNZN_Oo,car,person,bicycle
326,YKC27gOpezg,bicycle,,
327,IB5k-0jD2XQ,motorbike,,
328,idGb3ZYasaI,motorbike,bus,train
329,Eo0Ni28WU2g,train,bicycle,fire hydrant
330,SSDLzLTZs3U,,,
331,9mmhe_5R-rM,bicycle,car,
332,9x80ZvFTaV4,car,,
333,-8wAcpNYSas,person,,
334,CBAbD9PD24g,bicycle,,
335,vohFJ8yL0Qw,,,
336,t7_tnbSSXMQ,bicycle,horse,boat
337,xtJ49gXWwA0,,,
338,h31LDBh1uvg,person,,
339,-nc146I26SU,car,bicycle,person
340,SL45a75_cd4,bicycle,,
341,RHXDfgNjnPA,bicycle,,
342,QIahhWQgNgk,,,
343,uctgnv_aX3k,car,bicycle,train
344,g_uHluYGPtg,,,
345,eurX0k0UYoY,bicycle,,
346,_akEYecFdyM,bicycle,,
347,XOh_NwePRos,bicycle,,
348,wvZtYgIIe2E,,,
349,0dsCVAH1iQ8,bicycle,,
350,UBivwxBgdPQ,motorbike,,
351,MvvEfguRha0,bicycle,,
352,lldfoaV9mc8,,,
353,UFJtoVS8Qx0,,,
354,--WHBVeDrZM,,,
355,EXiZtoKWsLM,motorbike,aeroplane,train
356,FzOrff-KoCg,bus,motorbike,bicycle
357,3dhfunD1a-0,bicycle,motorbike,truck
358,7LI0lWknANE,bus,truck,
359,R0Fuci4YrdY,bicycle,,
360,i8nqsIIFp2o,,,
361,5sACMTVqyvE,car,,
362,CD-E-LDc384,,,
363,75d_29QWELk,bicycle,,
364,gQx-1XKxUDs,person,,
365,RqiNKk-o_Bg,car,person,
366,yuGD4AvlbcM,person,,
367,tj1ZLeBz4J4,car,bicycle,bus
368,g9BMcIxrkF4,,,
369,OhMrElwQvqc,,,
370,3nQaUal-LD0,truck,person,parking meter
371,a9JxLJlHqPg,,,
372,5aXrDnJxQYk,,,
373,09jofQX17WM,,,
374,uWohkaIb-Ss,bicycle,person,
375,iO6S8XMT0QQ,bicycle,,
376,w_ejnHxTWrU,,,
377,hX7xcxpxHhU,,,
378,BTDdT4whpRQ,bus,motorbike,fire hydrant
379,W6JTMowQEjM,fire hydrant,horse,dog
380,dVeZbaerhu8,bicycle,,
381,U60Z2w46itg,bus,person,
382,4D_OwIyiTYU,car,train,aeroplane
383,VEE2pqB8Tx8,,,
384,PWK0DAoRKSI,person,,
385,gfCRxrSeBN4,car,person,bus
386,3PnOS94d6v0,person,bicycle,
387,Q_fkEbTXz-o,person,,
388,j6mKL0ccOIA,bicycle,,
389,XFr0dk6Ca7o,,,
390,rFT67I-siYA,train,motorbike,bicycle
391,wyRvJQUahsI,bicycle,,
392,V0O7fk8u3mk,,,
393,Qek_UPifJhs,bicycle,,
394,1sbbWXjAro8,,,
395,nQ1mmVG-G1g,aeroplane,,
396,3WQq2y1qIfE,bicycle,,
397,LmwPop3Pulg,person,,
398,giFKH2sWGlM,,,
399,s60KsSIoops,person,,
400,txXgkYIalDY,aeroplane,person,
401,Z5vOneSK8po,,,
402,WnaDkex0xm0,person,train,aeroplane
403,vc_OvvStfZ0,,,
404,_8xhdL8BPvU,,,
405,YzgMePQvSdc,,,
406,CD5mewet-fE,,,
407,iDZzGooj3DA,,,
408,wZZ6WJnCF_4,person,,
409,iogeqIpfZ-c,aeroplane,bicycle,
410,X8-qnUyJSlc,car,,
411,tlfKx2drOFg,,,
412,kG9MM_7Wtvg,car,person,aeroplane
413,iQEaYnG25_U,,,
414,8SAlKoRcicM,car,,
415,5gqByAvf9PQ,person,aeroplane,
416,4N16y9bVqes,,,
417,AYy3UyD7C1M,person,,
418,02PiYzdGDDY,person,,
419,4mwztZ9Rn50,,,
420,VAAJOkdb5Fg,bicycle,,
421,BYv66FmUgzU,train,car,boat
422,SO1R0mKCx0E,person,,
423,raWRkz9SqtM,person,truck,
424,H0UEde0T1xs,,,
425,-folFCGyuQQ,,,
426,K-L3QGv0pzM,bicycle,aeroplane,
427,wSUItoLwbSo,aeroplane,car,person
428,hBVvEFHwpLY,boat,,
429,eK2cuu59WLk,motorbike,,
430,U7tF8j4Zbx4,bicycle,aeroplane,
431,GSuFSYY-X9w,,,
432,C680oxL__ck,bicycle,,
433,nRuWE-PIvU8,,,
434,AHC2LHxIPoA,bicycle,,
435,QBY-0Tc6YXI,,,
436,tof-R9djLeY,,,
437,hW4pTE8lVZw,,,
438,7JYJq6YGnL4,bus,car,
439,LqEm-bCll_E,,,
440,F3KsdeUDSrA,bicycle,motorbike,
441,eEUFUqNwztU,person,car,
442,EdzQ9wEOElw,,,
443,3kTdIa2AWAA,person,aeroplane,
444,avye5XNxXXg,bicycle,car,
445,4cnIMhvlBO4,,,
446,jh4ag4FTpVI,bicycle,,
447,9BrANukDWMw,motorbike,aeroplane,
448,t0M2qoNdBck,bicycle,,
449,LEENEFaVUzU,person,,
450,jmWmiQt24sU,bicycle,,
451,RqIi0gq63sg,bicycle,truck,boat
452,hyMIeCyT6rk,bicycle,car,bus
453,yw_nqzVfxFQ,motorbike,aeroplane,
454,KRvv0QdruMQ,person,,
455,F9xISqd4Yn8,aeroplane,,
456,1wYpFnhIdSg,car,bicycle,
457,Xoh9RY9uLdk,,,
458,Ook-J58HnvM,,,
459,aLGNlGCPlFw,,,
460,-o6gOmd8Q3Q,,,
461,Pwui--TsuGA,bicycle,person,
