,video_id,label_1,label_2,label_3
97,tR-3BMignl4,ping-pong_ball,military_uniform,Dungeness_crab
98,bLDSjWkZ72o,gasmask,groenendael,cash_machine
99,jXf04bhcjbg,backpack,Dutch_oven,keeshond
100,vSYAm8pyP-k,ping-pong_ball,dingo,tow_truck
101,NBgEBWT1Mqk,nipple,Labrador_retriever,cinema
102,qy0oX5A9WyY,yurt,fire_screen,nipple
103,F8h4BRu-7uA,ping-pong_ball,military_uniform,necklace
104,dMJygADKEKs,ping-pong_ball,groenendael,dingo
105,o6JQknd3JRk,ping-pong_ball,dingo,fire_engine
106,yf1GWoh4OKE,backpack,military_uniform,lens_cap
107,seEOOSZTymE,ping-pong_ball,military_uniform,tow_truck
108,f2kb4coG4po,backpack,ping-pong_ball,dingo
109,EshcItJCT5k,dingo,backpack,ping-pong_ball
110,HkSa1iJN_Fo,necklace,ping-pong_ball,cinema
111,ADw4cCceiKM,ping-pong_ball,fire_engine,tow_truck
112,XIn_kj52-P0,backpack,ping-pong_ball,dingo
113,wwE1fZmIkss,mixing_bowl,scoreboard,pop_bottle
114,MLxGllP0x8M,ping-pong_ball,military_uniform,lens_cap
115,A-vX1AGBGsc,ping-pong_ball,military_uniform,necklace
116,j3xSIeD1gJQ,pop_bottle,nipple,ping-pong_ball
117,ow8ZcpXMz0M,ping-pong_ball,Labrador_retriever,jeep
118,Mk0KCrcYwv4,Labrador_retriever,tow_truck,ping-pong_ball
119,vZk7JeGRKp8,ping-pong_ball,backpack,military_uniform
120,6o38C-ultvw,mixing_bowl,ping-pong_ball,ballpoint
121,epgZ2Dbr_Tw,ping-pong_ball,dingo,Dungeness_crab
122,y8IqsCbvCFo,ping-pong_ball,dingo,trailer_truck
123,RaJA7IbBRq0,yurt,groenendael,fire_screen
124,6VzdjvW2gi4,nipple,military_uniform,ping-pong_ball
125,HlyQf0dZ1Vk,ping-pong_ball,necklace,dingo
126,3-ozQBLitio,scoreboard,pop_bottle,ping-pong_ball
127,7ucVgLAZDQQ,cinema,nipple,fire_screen
128,OnzzqzzSWGA,ping-pong_ball,magnetic_compass,military_uniform
129,z5bLZtf37nI,mixing_bowl,scoreboard,pop_bottle
130,6ZKjAFxoG98,fire_engine,ping-pong_ball,military_uniform
131,QujpKn9Nu4c,necklace,garbage_truck,hair_slide
132,kymZR5FrTJY,lens_cap,reflex_camera,military_uniform
133,x_WN30mNsbs,ping-pong_ball,magnetic_compass,dingo
134,H4F5hkZzQaE,scoreboard,ping-pong_ball,bib
135,C8UxyMrBu4I,ping-pong_ball,necklace,dingo
136,LYUKDASQncM,ping-pong_ball,jeep,nipple
137,62Wf3GMJzpQ,ping-pong_ball,necklace,military_uniform
138,vyPy-4lY2qM,ping-pong_ball,necklace,magnetic_compass
139,pUF5esTscZI,ping-pong_ball,nipple,dingo
140,Mt8uLveDY24,ping-pong_ball,dingo,jeep
141,X7vEBh197xw,nipple,jeep,necklace
142,tlsU_YT9n_g,mixing_bowl,sunscreen,ping-pong_ball
143,Ivv-3w8dgmI,ping-pong_ball,necklace,military_uniform
144,1WGAWJJn3GI,dingo,ping-pong_ball,magnetic_compass
145,aDvOgfKNcrs,ping-pong_ball,dingo,backpack
146,vRW50IiRT-o,cash_machine,wood_rabbit,cinema
147,864UBq8HpBY,ping-pong_ball,military_uniform,pop_bottle
148,5cJK9VJ24hQ,pop_bottle,scoreboard,mixing_bowl
149,RPZMY2aqqSI,handkerchief,yurt,bib
150,ijHBHyKC__4,ping-pong_ball,pop_bottle,backpack
151,BYVZh5kqaFg,scoreboard,bib,ping-pong_ball
152,1qpoMiorNSQ,ping-pong_ball,dingo,military_uniform
153,_fs1X8tRTJA,backpack,bib,ping-pong_ball
154,xeQCRKXiRpo,military_uniform,dingo,backpack
155,ysd5-uTLy6w,ping-pong_ball,military_uniform,dingo
156,KHg3HXsJiA0,abacus,mixing_bowl,scoreboard
157,LdGvFaMo2GU,ping-pong_ball,keeshond,military_uniform
158,5eR5IvmnKk8,backpack,Dutch_oven,ping-pong_ball
159,px0wTJPUaes,ping-pong_ball,pop_bottle,rubber_eraser
160,58Ofg9IHRN0,ping-pong_ball,bib,backpack
161,QHiDyKEtxNU,dingo,ping-pong_ball,backpack
162,G_8mOQeSa2U,military_uniform,dingo,ping-pong_ball
163,qFq_L-ANNNQ,ping-pong_ball,military_uniform,necklace
164,S9EnUSSU7HI,ping-pong_ball,dingo,pop_bottle
165,yUJRjE-Ufz8,backpack,military_uniform,dingo
166,QNTYrOL-npo,ping-pong_ball,necklace,dingo
167,9Ak320xrCUo,yurt,acorn,bulletproof_vest
168,rKbIvdx4gzU,ping-pong_ball,nipple,necklace
169,m3ugIgRJMsE,Dutch_oven,dingo,pajama
170,WYKZdQq81kI,ping-pong_ball,tow_truck,trailer_truck
171,DOa5wozdK6Y,ping-pong_ball,nipple,military_uniform
172,bHocnamqOJI,ping-pong_ball,military_uniform,pop_bottle
173,L22U8dUpC44,Dutch_oven,dingo,ping-pong_ball
174,DDGhKS6bSAE,groenendael,yurt,chain
175,xxV7ubH94aU,soup_bowl,military_uniform,forklift
176,--lk4QeTVmg,Dungeness_crab,pop_bottle,dingo
177,VMxjFTtTquc,dingo,jeep,ping-pong_ball
178,cnN00ppui-w,military_uniform,ping-pong_ball,snowmobile
179,vL0yww9nk9o,ping-pong_ball,military_uniform,backpack
180,XSbNb3bQ1pg,military_uniform,ping-pong_ball,Dutch_oven
181,sG0rVJT_MT0,fire_engine,trailer_truck,magnetic_compass
182,BhP3nG16j7w,military_uniform,ping-pong_ball,jeep
183,T0_D4HC-Cwk,mixing_bowl,ping-pong_ball,rubber_eraser
184,ODwJGcswfsA,ping-pong_ball,bib,military_uniform
185,MnNisyErEMs,lens_cap,military_uniform,backpack
186,dE7RFxsnrS4,backpack,red-backed_sandpiper,handkerchief
187,vre-UCKBt8Y,ping-pong_ball,dingo,magnetic_compass
188,OI2NYBm8JYs,ping-pong_ball,dingo,tow_truck
189,mP_NA_L9zMk,ping-pong_ball,backpack,dingo
190,ZhQOhsl7Bus,ping-pong_ball,buckle,dingo
191,U4qm6mPKHqw,safety_pin,ping-pong_ball,mixing_bowl
192,TpLh9vB02MM,backpack,military_uniform,bib
193,TkLO5XtuMUw,backpack,dingo,ping-pong_ball
194,O5aVKxMacm8,backpack,military_uniform,purse
195,412--23qbb4,ping-pong_ball,nipple,projectile
196,6y4BStscwvw,ping-pong_ball,bottlecap,pop_bottle
197,gPknTQlKGQk,ping-pong_ball,pop_bottle,backpack
198,P42zn7PGyNc,ping-pong_ball,military_uniform,necklace
199,4u5I8GYB79Y,nipple,ping-pong_ball,tow_truck
200,MHryuYVyHhk,dingo,ping-pong_ball,military_uniform
201,3ZTnKuV0VpA,ping-pong_ball,military_uniform,necklace
202,o1njZZsUUXM,bib,bulletproof_vest,scoreboard
203,Y0LA7Ff2hgs,ping-pong_ball,Dutch_oven,backpack
204,uNkTb3ZEILA,yurt,acorn,bulletproof_vest
205,CKwM4ZEfYdk,ping-pong_ball,military_uniform,dingo
206,xo7Jx0C4A_o,military_uniform,purse,backpack
207,SZ-We5x0Jys,yurt,acorn,bulletproof_vest
