,video_id,label_1,label_2,label_3
113,wwE1fZmIkss,feather_boa,altar,kimono
114,MLxGllP0x8M,hotdog,lotion,packet
115,A-vX1AGBGsc,ping-pong_ball,library,menu
116,j3xSIeD1gJQ,street_sign,scoreboard,ballplayer
117,ow8ZcpXMz0M,swimming_trunks,maillot,sarong
118,Mk0KCrcYwv4,torch,wig,flute
119,vZk7JeGRKp8,cinema,totem_pole,swab
120,6o38C-ultvw,maze,racket,sundial
121,epgZ2Dbr_Tw,pinwheel,carousel,brassiere
122,y8IqsCbvCFo,carousel,shield,breastplate
123,RaJA7IbBRq0,stage,spotlight,microphone
124,6VzdjvW2gi4,maypole,torch,pole
125,HlyQf0dZ1Vk,lionfish,scuba_diver,spotlight
126,3-ozQBLitio,balance_beam,maillot,lotion
127,7ucVgLAZDQQ,horizontal_bar,stage,theater_curtain
128,OnzzqzzSWGA,shoe_shop,barbershop,jersey
129,z5bLZtf37nI,snorkel,coho,
130,6ZKjAFxoG98,wardrobe,shoe_shop,brassiere
131,QujpKn9Nu4c,cliff,fountain,megalith
132,kymZR5FrTJY,pajama,shower_cap,tub
133,x_WN30mNsbs,carton,crate,switch
134,H4F5hkZzQaE,lab_coat,pajama,sweatshirt
135,C8UxyMrBu4I,rapeseed,mortarboard,picket_fence
136,LYUKDASQncM,wig,whistle,quill
137,62Wf3GMJzpQ,sports_car,racer,car_wheel
138,vyPy-4lY2qM,shower_curtain,coffee_mug,freight_car
139,pUF5esTscZI,analog_clock,street_sign,laptop
140,Mt8uLveDY24,stage,groom,microphone
141,X7vEBh197xw,barbell,swimming_trunks,volleyball
142,tlsU_YT9n_g,street_sign,barbershop,bakery
143,Ivv-3w8dgmI,vestment,kimono,lab_coat
144,1WGAWJJn3GI,dumbbell,stage,microphone
145,aDvOgfKNcrs,toyshop,shoe_shop,jigsaw_puzzle
146,vRW50IiRT-o,car_mirror,lakeside,monitor
147,864UBq8HpBY,shoe_shop,cowboy_boot,coffee_mug
148,5cJK9VJ24hQ,alp,ski,sweatshirt
149,RPZMY2aqqSI,volcano,fountain,geyser
150,ijHBHyKC__4,racket,volleyball,
151,BYVZh5kqaFg,matchstick,candle,missile
152,1qpoMiorNSQ,baseball,ballplayer,volleyball
153,_fs1X8tRTJA,gas_pump,mailbox,garbage_truck
154,xeQCRKXiRpo,racer,go-kart,sports_car
155,ysd5-uTLy6w,microphone,mousetrap,
156,KHg3HXsJiA0,gas_pump,scoreboard,ambulance
157,LdGvFaMo2GU,abaya,jean,sarong
158,5eR5IvmnKk8,table_lamp,lampshade,wine_bottle
159,px0wTJPUaes,picket_fence,pinwheel,street_sign
160,58Ofg9IHRN0,mousetrap,wild_boar,skunk
161,QHiDyKEtxNU,cinema,tobacco_shop,barbershop
162,G_8mOQeSa2U,go-kart,racer,tractor
163,qFq_L-ANNNQ,stage,microphone,theater_curtain
164,S9EnUSSU7HI,slot,theater_curtain,cinema
165,yUJRjE-Ufz8,shield,bolo_tie,
166,QNTYrOL-npo,slot,stage,
167,9Ak320xrCUo,pick,remote_control,loudspeaker
168,rKbIvdx4gzU,harp,panpipe,stage
169,m3ugIgRJMsE,scoreboard,shield,tobacco_shop
170,WYKZdQq81kI,jigsaw_puzzle,street_sign,rubber_eraser
171,DOa5wozdK6Y,academic_gown,mortarboard,kimono
